epoch,phase,train_loss,train_acc,train_qwk,val_loss,val_acc,val_qwk,lr
1,phase1,1.4368456091199602,0.36810064935064934,0.46555663805184744,1.474434938070909,0.5528301886792453,0.738268266371217,0.001
2,phase1,1.3339465066984102,0.49391233766233766,0.660646801856324,1.3947642078939473,0.5830188679245283,0.7693902492670024,0.001
3,phase1,1.2792020401397308,0.5166396103896104,0.670590535731824,1.3641248819962988,0.6283018867924528,0.7740658261347011,0.001
4,phase1,1.2472331554858715,0.5487012987012987,0.6937807742897255,1.3551672746550363,0.6452830188679245,0.7514618096500822,0.001
5,phase1,1.2808731345387248,0.5239448051948052,0.6903971995643028,1.3865546599873957,0.6415094339622641,0.7583966022401584,0.001
6,phase2,1.258998354147007,0.5657467532467533,0.7075980564169982,1.3401697887564605,0.6509433962264151,0.8099853937060151,9.755282581475769e-05
7,phase2,1.2195487312682263,0.5645292207792207,0.7239595080862835,1.3085366536986154,0.6641509433962264,0.8206569319803007,9.045084971874738e-05
8,phase2,1.1846200955378545,0.5896915584415584,0.7413717797122163,1.3011970439047185,0.6660377358490566,0.8177514860911826,7.938926261462366e-05
9,phase2,1.1644012645467536,0.6087662337662337,0.7740707550555153,1.2880187201050093,0.6811320754716981,0.8294955273597635,6.545084971874738e-05
10,phase2,1.122165526662554,0.6103896103896104,0.7708182894130529,1.275384022154898,0.6943396226415094,0.8322021870849179,5e-05
11,phase2,1.100216567516327,0.6266233766233766,0.7694333702422526,1.2789823496116781,0.690566037735849,0.83319272229853,3.4549150281252636e-05
12,phase2,1.096501672422731,0.6392045454545454,0.8076444055763636,1.2849947011695717,0.690566037735849,0.8308864178567321,2.061073738537635e-05
13,phase2,1.102680839114375,0.6416396103896104,0.8090612004542359,1.2826406033533924,0.6924528301886792,0.8362600499909464,9.549150281252633e-06
14,phase2,1.1016537489055038,0.645698051948052,0.8002941184555208,1.280515088675157,0.6943396226415094,0.8416252149207896,2.4471741852423237e-06
15,phase2,1.0685662100841473,0.6594967532467533,0.8043446322211472,1.2857466274837277,0.6943396226415094,0.8363259363832884,0.0001
16,phase2,1.0599957096886325,0.6513798701298701,0.8064146886124097,1.2789437388474088,0.6962264150943396,0.8301872447649665,9.938441702975689e-05
17,phase2,1.1008904181517565,0.6497564935064936,0.7992557745210933,1.2766735130885862,0.6867924528301886,0.8257623636506032,9.755282581475769e-05
18,phase2,1.0593211879203845,0.65625,0.8076557278351235,1.2668632457841118,0.730188679245283,0.8589804016967965,9.45503262094184e-05
19,phase2,1.0280662252531423,0.6603084415584416,0.8018130475416717,1.288593043021436,0.6886792452830188,0.8403046957130066,9.045084971874738e-05
20,phase2,1.0521132582193846,0.6663961038961039,0.8137471742132949,1.2716255336437585,0.7056603773584905,0.8451538975230695,8.535533905932738e-05
21,phase2,1.0066128733096185,0.695211038961039,0.8284661185143181,1.263587840098255,0.7056603773584905,0.8498139859381225,7.938926261462366e-05
22,phase2,1.0156837682445328,0.6943993506493507,0.8347410363751799,1.28802666979016,0.7018867924528301,0.8382209516151847,7.269952498697734e-05
23,phase2,0.9810566933124096,0.7114448051948052,0.8280780916283127,1.2761781746486447,0.7113207547169811,0.859815165762418,6.545084971874738e-05
24,phase2,0.990460654357811,0.7061688311688312,0.8371136331687947,1.2757776219889803,0.7094339622641509,0.8500525422358742,5.782172325201155e-05
25,phase2,1.0008096872986136,0.708198051948052,0.8352953721611159,1.26803890039336,0.7283018867924528,0.8710651509066757,5e-05
26,phase2,0.9829526539746817,0.7150974025974026,0.8357240644941039,1.2868881657438458,0.7132075471698113,0.8555218417377065,4.217827674798847e-05
27,phase2,0.9343762378413956,0.7219967532467533,0.8462389970367732,1.2621612062994039,0.7245283018867924,0.8640024777569097,3.4549150281252636e-05
28,phase2,0.9788048720204985,0.7065746753246753,0.8398826563202346,1.266918431587939,0.7150943396226415,0.8543588372473003,2.7300475013022663e-05
29,phase2,0.9792466411342868,0.7228084415584416,0.8386402306868386,1.2650185171163306,0.7188679245283018,0.8490158347935457,2.061073738537635e-05
30,phase2,0.948761130308176,0.713474025974026,0.8317214162636875,1.2763224718705664,0.7169811320754716,0.8552845082883309,1.4644660940672627e-05
31,phase2,0.9728087477095715,0.7159090909090909,0.8514669070947135,1.2664327630456889,0.7245283018867924,0.8544617831982425,9.549150281252633e-06
32,phase2,0.9906257348401206,0.7167207792207793,0.8351651923046661,1.2723979374147811,0.7132075471698113,0.845905595371353,5.449673790581611e-06
33,phase2,0.9453468636258856,0.716314935064935,0.8361460312475465,1.2575660084778408,0.7226415094339622,0.8590902499154058,2.4471741852423237e-06
34,phase2,0.977287683007005,0.7159090909090909,0.8422251912384874,1.2860252816722078,0.7150943396226415,0.8485849285980581,6.15582970243117e-07
35,phase2,0.9329499195922505,0.713474025974026,0.8414262747074053,1.2661653658129135,0.7188679245283018,0.8575734572997413,0.0001
36,phase2,0.9662147710075626,0.7256493506493507,0.8413525350330366,1.2734541240728126,0.7132075471698113,0.8389480314844268,9.98458666866564e-05
37,phase2,0.9362845502116464,0.7459415584415584,0.8498658357270449,1.2787527498209252,0.7226415094339622,0.8667106307353549,9.938441702975689e-05
