epoch,phase,train_loss,train_acc,train_qwk,val_loss,val_acc,val_qwk,lr
1,phase1,1.547102583377851,0.4701178451178451,0.5661092983460182,1.4345975293468658,0.545543584720862,0.6893004897258082,0.001
2,phase1,1.4575376855805264,0.5170454545454546,0.6252392497129002,1.4108639006283095,0.5837414299706171,0.7111126830303459,0.001
3,phase1,1.4426737833103347,0.5376683501683501,0.6408311049246003,1.3892953885056947,0.5582761998041136,0.7147493302229333,0.001
4,phase1,1.4319478217198793,0.5427188552188552,0.6439779865591124,1.384158499444033,0.594515181194907,0.7244577115156083,0.001
5,phase1,1.4224388049507783,0.5528198653198653,0.6459981535595722,1.3493492049872,0.56513222331048,0.7167832747959487,0.001
6,phase2,1.3854174999275592,0.5837542087542088,0.6942402556798444,1.3174012678727347,0.6307541625857003,0.776977344159392,9.755282581475769e-05
7,phase2,1.354123466343992,0.5951178451178452,0.7005006333968081,1.2945205845398486,0.6268364348677767,0.7892290034103202,9.045084971874738e-05
8,phase2,1.3200282332070348,0.6193181818181818,0.7371654778857297,1.271909503581825,0.6268364348677767,0.8009823108232983,7.938926261462366e-05
9,phase2,1.3003759032949453,0.622895622895623,0.7385347981997743,1.2628066006183156,0.6297747306562194,0.8059219224004233,6.545084971874738e-05
10,phase2,1.2896715438727178,0.6420454545454546,0.7450960118105017,1.251079835107114,0.6425073457394711,0.8167977722775668,5e-05
11,phase2,1.2598567091254673,0.6399410774410774,0.7670990663901164,1.2474555684350264,0.6571988246816847,0.8242069998503296,3.4549150281252636e-05
12,phase2,1.2568886292101158,0.6584595959595959,0.7687796036403087,1.2406720119171815,0.6660137120470128,0.8311310161972237,2.061073738537635e-05
13,phase2,1.256848196389298,0.6513047138047138,0.7612516040369203,1.2385799672297704,0.6562193927522038,0.8157196789282903,9.549150281252633e-06
14,phase2,1.2410872851558004,0.6540404040404041,0.7677089722881805,1.2355106048555962,0.6542605288932419,0.8260669063581169,2.4471741852423237e-06
15,phase2,1.247950103347149,0.6576178451178452,0.768061574353605,1.2417110559639104,0.6640548481880509,0.8243664502256363,0.0001
16,phase2,1.2506938223485593,0.6483585858585859,0.7735417904921443,1.233898404296068,0.6748285994123409,0.8308717580750018,9.938441702975689e-05
17,phase2,1.2315022742708122,0.6788720538720538,0.7819459188953481,1.2247619843739836,0.6601371204701273,0.8369824824382699,9.755282581475769e-05
18,phase2,1.215655677647703,0.6740319865319865,0.7971327308883351,1.2177178604012022,0.6865817825661117,0.8386404777484491,9.45503262094184e-05
19,phase2,1.2067820363574557,0.6813973063973064,0.7809413494590288,1.2097227175252094,0.6846229187071499,0.8420331307187601,9.045084971874738e-05
20,phase2,1.1746916766921278,0.6959175084175084,0.8017491692592621,1.1915966551404276,0.6856023506366308,0.8380894720092075,8.535533905932738e-05
21,phase2,1.1759500744366886,0.6910774410774411,0.8020021463978784,1.190231875738131,0.713026444662096,0.8571661462872551,7.938926261462366e-05
22,phase2,1.1467934903070982,0.7171717171717171,0.8236518362193527,1.1868511294758168,0.7189030362389814,0.8533937840455336,7.269952498697734e-05
23,phase2,1.143387283741023,0.7123316498316499,0.8253119724520135,1.1801677415700198,0.7198824681684622,0.8508609229652312,6.545084971874738e-05
24,phase2,1.1256866966835175,0.7236952861952862,0.822859951810823,1.168388652287781,0.713026444662096,0.8524996858821895,5.782172325201155e-05
25,phase2,1.1168880095385543,0.7255892255892256,0.8273500866248467,1.1778320056567813,0.7257590597453477,0.846489841551332,5e-05
26,phase2,1.1112835730366435,0.735479797979798,0.8358465030186197,1.162805022618913,0.7149853085210578,0.8574990771040033,4.217827674798847e-05
27,phase2,1.1181719911218895,0.7321127946127947,0.8268653847967249,1.1611449440592767,0.7100881488736532,0.8474997986185918,3.4549150281252636e-05
28,phase2,1.103555365443631,0.7346380471380471,0.8314892336086852,1.1748136814380836,0.7257590597453477,0.8636490090079829,2.7300475013022663e-05
29,phase2,1.091521184653144,0.7365319865319865,0.830420866230106,1.1610081589303685,0.7247796278158668,0.8593325834185681,2.061073738537635e-05
30,phase2,1.086613396803538,0.7371632996632996,0.8397352634352254,1.163335388834633,0.7198824681684622,0.8595267052862496,1.4644660940672627e-05
31,phase2,1.0927280095289853,0.7508417508417509,0.8448703590740261,1.155920753749881,0.7198824681684622,0.8484625018346824,9.549150281252633e-06
32,phase2,1.0795087224305278,0.7535774410774411,0.845922524432599,1.1589986946393647,0.7218413320274241,0.861448989386936,5.449673790581611e-06
33,phase2,1.0862130448473022,0.7504208754208754,0.8366722995288798,1.1546419063814706,0.7218413320274241,0.8590740525169208,2.4471741852423237e-06
34,phase2,1.0857780973116558,0.7331649831649831,0.8237944412815938,1.1534901063425884,0.713026444662096,0.8520874233825013,6.15582970243117e-07
35,phase2,1.0905973226935775,0.742003367003367,0.8388947018262426,1.152813361977737,0.722820763956905,0.859017982092644,0.0001
