threshold,sensitivity,specificity,precision,npv,f1,accuracy,youden_j
0.295628141,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.300552764,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.305477387,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.31040201,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.315326633,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.320251256,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.325175879,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.330100503,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.335025126,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.339949749,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.344874372,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.349798995,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.354723618,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.359648241,0.996168582,0.985185185,0.984848485,0.996254682,0.99047619,0.990583804,0.981353768
0.364572864,0.992337165,0.985185185,0.984790875,0.992537313,0.988549618,0.988700565,0.97752235
0.369497487,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.374422111,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.379346734,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.384271357,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.38919598,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.394120603,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.399045226,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.403969849,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
0.408894472,0.992337165,0.988888889,0.988549618,0.992565056,0.990439771,0.990583804,0.981226054
