threshold,sensitivity,specificity,precision,npv,f1,accuracy,youden_j
0.01,1.0,0.0,0.5122428991185113,0.0,0.677461139896373,0.5122428991185113,0.0
0.014924623115577889,1.0,0.0,0.5122428991185113,0.0,0.677461139896373,0.5122428991185113,0.0
0.01984924623115578,0.9541108986615678,0.6987951807228916,0.7688751926040062,0.9354838709677419,0.8515358361774744,0.8295788442703232,0.6529060793844594
0.024773869346733667,0.9407265774378585,0.7570281124497992,0.802610114192496,0.9240196078431373,0.8661971830985915,0.8511263467189031,0.6977546898876577
0.029698492462311557,0.9369024856596558,0.7650602409638554,0.8072487644151565,0.9202898550724637,0.8672566371681415,0.8530852105778648,0.7019627266235111
0.03462311557788945,0.9330783938814532,0.7771084337349398,0.8146911519198664,0.9170616113744076,0.8698752228163993,0.8570029382957884,0.710186827616393
0.03954773869346734,0.9311663479923518,0.7871485943775101,0.821247892074199,0.9158878504672897,0.8727598566308243,0.8609206660137121,0.7183149423698618
0.04447236180904523,0.9273422562141491,0.7951807228915663,0.8262350936967632,0.9124423963133641,0.8738738738738738,0.8628795298726738,0.7225229791057153
0.04939698492462312,0.9273422562141491,0.7991967871485943,0.8290598290598291,0.9128440366972477,0.8754512635379063,0.8648383937316356,0.7265390433627434
0.05432160804020101,0.9254302103250478,0.8052208835341366,0.8330464716006885,0.9113636363636364,0.8768115942028984,0.8667972575905974,0.7306510938591844
0.0592462311557789,0.9216061185468452,0.8092369477911646,0.8353552859618717,0.9076576576576577,0.8763636363636365,0.8667972575905974,0.7308430663380099
0.06417085427135678,0.9196940726577438,0.8172690763052208,0.8409090909090909,0.9064587973273942,0.8785388127853881,0.8697355533790402,0.7369631489629647
0.06909547738693467,0.9177820267686424,0.8192771084337349,0.8421052631578947,0.9046563192904656,0.878316559926807,0.8697355533790402,0.7370591352023772
0.07402010050251256,0.9177820267686424,0.8232931726907631,0.8450704225352113,0.9050772626931567,0.8799266727772685,0.871694417238002,0.7410751994594054
0.07894472361809045,0.9139579349904398,0.8273092369477911,0.8475177304964538,0.9015317286652079,0.8794848206071757,0.871694417238002,0.7412671719382309
0.08386934673366835,0.9120458891013384,0.8333333333333334,0.8517857142857143,0.9002169197396963,0.8808864265927978,0.8736532810969637,0.7453792224346718
0.08879396984924623,0.9101338432122371,0.8333333333333334,0.851520572450805,0.8982683982683982,0.8798521256931607,0.8726738491674828,0.7434671765455705
0.09371859296482411,0.9101338432122371,0.8373493975903614,0.8545780969479354,0.8987068965517241,0.8814814814814815,0.8746327130264446,0.7474832408025986
0.09864321608040201,0.9082217973231358,0.8393574297188755,0.8558558558558559,0.8969957081545065,0.8812615955473098,0.8746327130264446,0.7475792270420114
0.1035678391959799,0.9063097514340345,0.8433734939759037,0.8586956521739131,0.8955223880597015,0.8818604651162791,0.8756121449559255,0.7496832454099382
