Model,Threshold,AUC-ROC,AUC-PR,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Cohen Kappa,MCC,Brier Score
Fold 1,0.5,0.9332588480115491,0.9552953724772486,0.8991185112634672,0.8814531548757171,0.9176706827309237,0.9183266932270916,0.8995121951219512,0.7983192471515995,0.7989950045500741,0.0978179425482438
Fold 2,0.5,0.9334834558117748,0.9567937195090628,0.9089128305582762,0.8680688336520076,0.9518072289156626,0.9497907949790795,0.9070929070929071,0.8181091999931038,0.8212962870842229,0.08424163036627592
Fold 3,0.5,0.9297227149515845,0.9549657298463706,0.9030362389813908,0.8565965583173997,0.9518072289156626,0.9491525423728814,0.9005025125628141,0.806429929737276,0.8104695145806631,0.08683813054868629
Fold 4,0.5,0.9504211876185431,0.9633308104473902,0.8922624877571009,0.8776290630975143,0.9076305220883534,0.9089108910891089,0.8929961089494164,0.7845818036742507,0.7850697113059955,0.08895593791074546
Fold 5,0.5,0.9603346464250886,0.9689839410940382,0.8873653281096964,0.8680688336520076,0.9076305220883534,0.908,0.8875855327468231,0.774844050525137,0.7756308648656515,0.09336805869879668
Ensemble (no TTA),0.5,0.9556313206938654,0.9684979454013704,0.9000979431929481,0.8661567877629063,0.9357429718875502,0.934020618556701,0.8988095238095238,0.8004399664276489,0.8026613200157744,0.07930671755258575
Ensemble + TTA,0.5,0.9564030500587436,0.9689766574772898,0.901077375122429,0.8680688336520076,0.9357429718875502,0.934156378600823,0.8999008919722498,0.8023869705442163,0.8044978180234015,0.0796068389273344
Ensemble + TTA + OptThresh,0.820376992225647,0.9564030500587436,0.9689766574772898,0.9059745347698335,0.8298279158699808,0.9859437751004017,0.9841269841269841,0.9004149377593361,0.8125738587037583,0.8231914567671137,0.0796068389273344
