fold,auc,accuracy,f1,sensitivity,specificity,precision,kappa,mcc
1,0.9997784424504265,0.9916805324459235,0.9915110356536503,0.9898305084745763,0.9934640522875817,0.9931972789115646,0.983354474904309,0.983359924179039
2,0.9998005982053839,0.9866888519134775,0.9862542955326461,0.9728813559322034,1.0,1.0,0.9733557954469887,0.9737014787879308
3,0.9990916140467486,0.9800332778702163,0.9797297297297297,0.9830508474576272,0.9771241830065359,0.9764309764309764,0.9600580410053057,0.9600793144662715
4,0.9998555154209502,0.99,0.9897610921501706,0.9830508474576272,0.9967213114754099,0.9965635738831615,0.9799899949974987,0.9800772040345551
5,0.9993887190886357,0.9916666666666667,0.9915110356536503,0.9898305084745763,0.9934426229508196,0.9931972789115646,0.9833277759253084,0.983333242546759
